FullIDOld	FullID	Session	IDSample	Site	Sector	SectorPlant	PlantOld	Leaf	Succession	Replicate	Operator	Date	Qubit_ng.mL.1	Qubit_ng.mL.2	Qubit_Date	QubitKit	Nanodrop.2μL..ng.μL.	NotesOnRun	Notes	Solution.C1	Solution.C2	Solution.C3	Solution.C4	Solution.C5	Solution.C6
MC16S-100	MC-01-00-P	NA	NA	MC	NA	1	NA	0	P	NA	Rachel	NA	6.44	6.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC16S-020	MC-00-20-P	NA	NA	MC	NA	0	NA	20	P	NA	Rachel	NA	1.288	1.288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC18S-100	MC-01-00-U	NA	NA	MC	NA	1	NA	0	U	NA	Rachel	NA	4.346	4.346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC18S-020	MC-00-20-U	NA	NA	MC	NA	0	NA	20	U	NA	Rachel	NA	0.869	0.869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC16S-100R	MC-01-00-R	NA	NA	MC	NA	1	NA	0	R	NA	Rachel	NA	6.44	6.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC16S-020R	MC-00-20-R	NA	NA	MC	NA	0	NA	20	R	NA	Rachel	NA	1.288	1.288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC18S-100V	MC-01-00-V	NA	NA	MC	NA	1	NA	0	V	NA	Rachel	NA	4.346	4.346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC18S-020V	MC-00-20-V	NA	NA	MC	NA	0	NA	20	V	NA	Rachel	NA	0.869	0.869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10 mM Tris	NC-NN-NN-N	NA	NA	NC	NA	NN	NA	NN	N	NA	Rachel	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10 mM Tris	NC-NN-NN-O	NA	NA	NC	NA	NN	NA	NN	O	NA	Rachel	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
