			CB-1-3-4-L	CB-1-3-6-E	CB-1-3-7-E	CB-1-3-14-E	CB-2-10-1-E	CB-2-10-4-L	CB-2-10-6-E	CB-2-10-8-L	CB-2-10-11-E	CB-2-15-16-L	CB-3-14_1-6-L	CB-3-14_1-7-E	CB-3-14_1-10-E	CB-3-14_1-14-L	CB-3-13-1-E	CB-3-13-3-L	CB-3-14_2-16-L	CB-4-6-4-L	CB-4-6-5-E	CB-4-6-6-L	CB-4-6-9-E	CB-4-6-10-L	CB-4-6-11-E	CB-1-3-1-L	CB-1-3-2-L	CB-1-3-5-L	CB-1-3-8-E	CB-2-10-9-L	CB-2-10-10-E	CB-3-14_1-8-E	CB-4-6-1-L	CB-4-6-3-E
Order	(Super)Family/Suborder	Species	CB_1a_04_L	CB_1a_06_E	CB_1a_07_E	CB_1a_14_E	CB_2a_01_E	CB_2a_04_L	CB_2a_06_E	CB_2a_08_L	CB_2a_11_E	CB_2b_16_L	CB_3a_06_L	CB_3a_07_E	CB_3a_10_E	CB_3a_14_L	CB_3b_01_E	CB_3b_03_L	CB_3c_16_L	CB_4a_04_L	CB_4a_05_E	CB_4a_06_L	CB_4a_09_E	CB_4a_10_L	CB_4a_11_E	CB-1a-01-L	CB-1a-02-L	CB-1a-05-L	CB-1a-08-E	CB-2a-09-L	CB-2a-10-E	CB-3a-08-E	CB-4a-01-L	CB-4a-03-E
Notes			Partially heavily hyphenized													H. Lots of little bits of exoskeleton, unidentifible								Lots of digested unidentifible contents	Lots of butterfly scales, some eggs_								Hyphen	
																																		
Hemiptera	Auchenorrhyncha										1		1			2																		
Hemiptera	Heteroptera															1 cf.															1			
Hemiptera	Aphidoidea								1																									
Hemiptera	Psylloidea																																	
																																		
Blattodea	Ectobiidae																																	
Orthoptera																																		
																																		
Diptera			2	2			1	2	1	1		7	1	1	1		1	4	1	4	2		1	11	2			2	1	4			2	
Diptera	Syrphidae																																	
Diptera	Calliphoridae/Sarcophagidae		5	4		4		1	5		1	1	1		1	1		2	1	4	1	4	2	2	5	1	1	2		1				1
Diptera	Drospophila																																	
Diptera	Larvae											4												3	11									
																																		
Hymenoptera				1					2				2	3		1	2		1		2		1	1	1	2								
Hymenoptera	Formicidae		5		1	1	2	2	2	3	2	12	20	4	8	9	5	5	6	1			3		1	4	1		1	5	1	11		
Hymenoptera	Vespidae																																	
Hymenoptera	Apidae																																	1
Hymenoptera	Parasitoid						1			1	1	1						1					1						1			3		
Hymenoptera	Vespidae	Vespula sp.			1				1		1	2	1 in parts						1												1			
Hymenoptera	Symphyta								1	1									1						1					1 cf wings				1
																																		
Coleoptera			1					1		1		1		5		1			1							1	1 in parts							
Coleoptera	Curculionidae												1																					
Coleoptera	Chrysomelidae																																	
Coleoptera	Staphylinidae																																	
Coleoptera	Carabidae		1					1				1		1	1																	1		
Coleoptera	Coccillidinae							1			1	2	1			4										1 elytre		1						
																																		
																																		
Lepidoptera												1 wings													1									1
																																		
Thysanoptera																																		
																																		
Neuroptera	Chrysopidae larvae								1																									
																																		
																																		
Araneae							2					1		5	1		1								1							1		
Araneae	Lycosidae		1					1					1																					
Araneae	Pisauridae	Dolomedes						1 cf.															1											
Araneae	Thomisidae																																	
Araneae	Salticidae		1										1																					
Araneae	Pisauridae	indet.	1																															1
Araneae	Salticidae	Myrmarachne formicaria									2		3					2																
																																		
																																		
																																		
																																		
Insecta indet.	Larvae																				1			4 cf. Diptera	10 cf. Diptera									
Insecta indet.												1									1													
Acari																										2								
