			LM-1-2-10-E	LM-1-2-11-L	LM-1-2-13-L	LM-1-2-14-E	LM-1-2-15-E	LM-1-2-16-L	LM-2-8C-1-L	LM-2-8C-3-L	LM-2-8C-4-E	LM-2-8C-6-E	LM-2-8C-8-L	LM-2-8C-16-E	LM-3-7A-11-E	LM-3-7A-12-E	LM-3-7A-13-E	LM-3-7B-14-L	LM-3-7B-15-L	LM-4-9A-7-L	LM-4-9A-8-L	LM-4-9B-4-E	LM-1-2-9-L	LM-1-2-12-E	LM-2-8C-2-E	LM-2-8C-5-L	LM-3-7A-8-L	LM-3-7A-9-E	LM-3-7A-10-L	LM-4-9A-6-E	LM-4-9B-2-L	LM-4-9B-3-E	LM-4-9C-12-E	LM-4-9C-15-L
Order	(Super)Family/Suborder	Species	LM_1a_10_E	LM_1a_11_L	LM_1a_13_L	LM_1a_14_E	LM_1a_15_E	LM_1a_16_L	LM_2b_01_L	LM_2b_03_L	LM_2b_04_E	LM_2b_06_E	LM_2b_08_L	LM_2b_16_E	LM_3a_11_E	LM_3a_12_E	LM_3a_13_E	LM_3b_14_L	LM_3b_15_L	LM_4a_07_L	LM_4a_08_L	LM_4b_04_E	LM-1a-09-L	LM-1a-12-E	LM-2b-02-E	LM-2b-05-L	LM-3a-08-L	LM-3a-09-E	LM-3a-10-L	LM-4a-06-E	LM-4b-02-L	LM-4b-03-E	LM-4c-12-E	LM-4c-15-L
Notes							Some hyphen mats		Hyphen mats		Hyphen mats										Hyphen mats					Hyphen mats	Hyphen mats		Lots of hyphen mats					Some hyphen mats
																																		
Collembola	Symphypleona			1																														
Collembola								3																										
																																		
Hemiptera	Auchenorrhyncha													1				2					1		1				1	1				1
Hemiptera	Heteroptera	Lygaeidae																			2										1 abdomen			
Hemiptera	Heteroptera	Larvae												1																				
Hemiptera	Aphidoidea																		1															
Hemiptera	Psylloidea																																	
																																		
Blattodea	Ectobiidae																																	
Orthoptera																																		
																																		
Diptera			11		3	7	7	9	27	37	53	20	42	27	9	6	7	18	23	7	6	6	3	9	7	34	22	12	25	12	7	3	10	5
Diptera	Syrphidae				1					2	1			1									1			2	1				2			
Diptera	Syrphidae	Eristalis								1						1																		
Diptera	Calliphoridae/Sarcophagidae		8	3	7	6	20	12	25	30	29	25	25	33	22	17	13	17	40	21	19	20	9	12	31	26	25	26	47	7	11	13	16	5
Diptera	Platypezidae		1			1	1	1			1	1	1		3				1		2	2			3					1		4	4	
Diptera	Larvae									4			2							5	13		1				10		8					
Diptera	Eggs/pupae													19																				
																																		
Hymenoptera			2	1					2	3	2	1	2			1	2	2				1	3			1	3		2		2		1	
Hymenoptera	Formicidae			3	1	1	1	1				1		2	1		1	1		4	5	3					1	1	1	3	48		35	29
Hymenoptera	Vespidae																																	
Hymenoptera	Apidae																																	
Hymenoptera	Apidae	Apis mellifera			1																													
Hymenoptera	Symphyta										1																							
Hymenoptera	Apidae	Bombus																												1				
																																		
Coleoptera												1	1				1, in parts		1		1 head				1	1								
Coleoptera	Curculionidae																																	
Coleoptera	Chrysomelidae																													1				
Coleoptera	Staphylinidae																																	2
Coleoptera	Silphidae	Oiceoptoma thoracicum																			1													
Coleoptera	Silphidae	Nicrophorus vespilloides 																			1													
Coleoptera	Carabidae																														5			1
Coleoptera	Coccillenidae									1																								
																																		
Lepidoptera						1																												
Lepidoptera	Larvae																									1 cf.								
																																		
Thysanoptera																																		
																																		
Araneae				1																														
Araneae	Lycosidae																	1	1	1								1 in parts						1
Araneae	Pisauridae	Dolomedes																																
Araneae	Thomisidae																																	
Araneae	Salticidae													1						1	1	1				1				1	2			
																																		
																																		
Acari																				2	2						1							
																																		
Chilopoda																																	1	
																																		
Insecta indet.																																		
