			LT-1-1B-2-E	LT-1-1B-4-L	LT-1-1B-13-E	LT-1-1C-5-E	LT-1-1C-9-L	LT-2-3A-7-L	LT-2-3B-11-L	LT-2-3B-12-E	LT-2-3B-13-L	LT-2-3B-14-L	LT-2-3B-15-E	LT-3-5A-2-E	LT-3-5A-3-L	LT-3-5A-6-E	LT-3-5A-7-L	LT-3-5A-8-E	LT-3-5A-9-L	LT-3-5A-12-E	LT-3-5A-14-L	LT-4-6A-4-L	LT-4-6A-5-L	LT-4-6A-6-E	LT-4-6A-7-E	LT-4-6A-10-E	LT-1-1A-16-E	LT-1-1B-1-L	LT-1-1B-3-L	LT-2-3A-6-E	LT-2-3B-10-E	LT-4-6A-8-L	LT-4-6A-9-E	LT-4-6A-12-L
Order	(Super)Family/Suborder	Species	LT_1b_02_E	LT_1b_04_L	LT_1b_13_E	LT_1c_05_E	LT_1c_09_L	LT_2a_07_L	LT_2b_11_L	LT_2b_12_E	LT_2b_13_L	LT_2b_14_L	LT_2b_15_E	LT_3a_02_E	LT_3a_03_L	LT_3a_06_E	LT_3a_07_L	LT_3a_08_E	LT_3a_09_L	LT_3a_12_E	LT_3a_14_L	LT_4a_04_L	LT_4a_05_L	LT_4a_06_E	LT_4a_07_E	LT_4a_10_E	LT-1a-16-E	LT-1b-01-L	LT-1b-03-L	LT-2a-06-E	LT-2b-10-E	LT-4a-08-L	LT-4a-09-E	LT-4a-12-L
Notes																										Hyphen clump								
																																		
Collembola	Symphypleona																																	
Collembola																												1						
																																		
Hemiptera	Auchenorrhyncha																					1												
Hemiptera	Heteroptera											1 pronotum and genital capsule																						
Hemiptera	Heteroptera	Lygaeidae																																
Hemiptera	Heteroptera	Larvae																										2						
Hemiptera	Aphidoidea											1																						
Hemiptera	Psylloidea														1																			
																																		
Blattodea	Ectobiidae																																	
Orthoptera																																		
																																		
Diptera							2	1	6		3	2	2	4	4	1	1	3	1	1	5	1 and 1 wing	4			1		8	1	1		2	3	
Diptera	Syrphidae																					1				1		2	1			2	1	1
Diptera	Syrphidae	Eristalis				1		1																				1		1				
Diptera	Calliphoridae/Sarcophagidae		2		1	2		1	5	3	1	2	2	4	1			1	3			1 and 1 wing	5					7		2	1		1	
Diptera	Platypezidae																																1	
Diptera	Larvae													4																				
																																		
																																		
Hymenoptera						1	2	1	1			1		1	1	1	3												1					
Hymenoptera	Formicidae								1									1										1						
Hymenoptera	Vespidae																																	
Hymenoptera	Apidae																																	
Hymenoptera	Apidae	Apis mellifera																									1					4		
Hymenoptera	Symphyta																																	
Hymenoptera	Apidae	Bombus																																
																																		
Coleoptera			1	1 elytra pair							1			1												1		7	1					1
Coleoptera	Curculionidae																																	
Coleoptera	Chrysomelidae																													1				
Coleoptera	Staphylinidae														1			1																
Coleoptera	Silphidae	Oiceoptoma thoracicum																																
Coleoptera	Silphidae	Nicrophorus vespilloides 																																
Coleoptera	Carabidae																																	
Coleoptera	Coccillenidae																																	
																																		
Lepidoptera									1														1										1	
Lepidoptera	Larvae										1																							
																																		
Thysanoptera																																		
																																		
Araneae																																1		
Araneae	Lycosidae																																	
Araneae	Pisauridae	Dolomedes																																
Araneae	Thomisidae																																	
Araneae	Salticidae																																	
																																		
																																		
Acari																													2					
																																		
																																		
Insecta indet.																							1											
