			?	LV-1-3-2-E	LV-1-3-3-L	LV-1-3-6-L	LV-1-3-9-L	LV-1-3-10-E	LV-1-3-16-E	LV-2-7-1-L	LV-2-7-4-L	LV-2-7-5-E	LV-2-7-9-E	LV-2-7-10-E	LV-3-12-16-L	LV-3-11-1-L	LV-3-11-2-E	LV-3-11-3-E	LV-3-11-4-E	LV-3-11-5-L	LV-3-11-6-L	LV-3-11-7-E	LV-4-15-3-L	LV-4-15-5-E	LV-4-15-9-E	LV-4-15-10-L	LV-1-3-4-E	LV-2-7-2-E	LV-2-7-3-L	LV-2-7-7-L	LV-4-15-1-E	LV-4-15-2-L	LV-4-15-4-L	LV-4-15-6-E
Order	(Super)Family/Suborder	Species	LV_1a_01_L	LV_1a_02_E	LV_1a_03_L	LV_1a_06_L	LV_1a_09_L	LV_1a_10_E	LV_1a_16_E	LV_2b_01_L	LV_2b_04_L	LV_2b_05_E	LV_2b_09_E	LV_2b_10_E	LV_3a_16_L	LV_3b_01_L	LV_3b_02_E	LV_3b_03_E	LV_3b_04_E	LV_3b_05_L	LV_3b_06_L	LV_3b_07_E	LV_4b_03_L	LV_4b_05_E	LV_4b_09_E	LV_4b_10_L	LV-1a-04-E	LV-2b-02-E	LV-2b-03-L	LV-2b-07-L	LV-4b-01-E	LV-4b-02-L	LV-4b-04-L	LV-4b-06-E
Notes					Lots of hyphens				Lots of hyphens								Looots of hyphens												Some hyphens					
Collembola					2	1	1				1				2			1			1				1			2	1	4			1	
Collembola	Symphypleona					4		1	1							1											2			1				
Hemiptera	Auchenorrhyncha					1																												
Hemiptera	Heteroptera	Pentatomidae																																
Hemiptera	Heteroptera	Pentatomidae																																
Hemiptera	Heteroptera	Lygaeidae																																
Hemiptera	Heteroptera	Miridae							1																									
Hemiptera	Aphidoidea				1																													
Hemiptera	Sternorrhyncha																																	
Blattodea	Ectobiidae				1					1	1						2		1				1						1					1
Orthoptera																																		
Diptera			4	3	14		14	4	8	4	2					4	1			1		2	19	3	2	3	4	2	15	20	1	6	9	7
Diptera	Syrphidae				1						1																							
Diptera	Calliphoridae/Sarcophagidae																								1			1					1	
Diptera	Drosophila																																	
Diptera	Platypezidae										1																						1	
Diptera	Larvae																																	
Hymenoptera			1		3	1	1	1	1	3	1				1								4	4	1		1		4	8	1	1	2 1 cf	1
Hymenoptera	Formicidae		1			2	2	2		1	5				2		3	1			1		10	2	5	1	1	3	14	13	3	2	8	3
Hymenoptera	Vespidae																																	
Hymenoptera	Apidae																																	
Coleoptera						1	2		1									5	5			1	2					1					1	
Coleoptera	Curculionidae																																	
Coleoptera	Chrysomelidae									1																								
Coleoptera	Staphylinidae				1	1																												
Coleoptera	Carabidae																																	
Coleoptera	Carabidae	Larvae																																
Coleoptera	Silphidae	Oiceoptoma thoracicum																																
Coleoptera	Silphidae	Nicrophorus vespilloides 																																
Coleoptera	Silphidae	Phosphuga atrata 																																
Coleoptera	Silphidae	Thanatophilus sinuatus 																																
Coleoptera	Cerambycidae																																	
Coleoptera	Coccinellidae																																	
Lepidoptera			1																															
Lepidoptera	Larvae																																	
Thysanoptera																																		
Araneae					2		1 legs only																2							1		2		
Araneae	Lycosidae									1																				3				
Araneae	Lycosidae	juveniles																																
Araneae	Pisauridae	Dolomedes																																
Araneae	Thomisidae																																	
Araneae	Sparassidae	Micrommata virescens																																
Araneae	Tetragnathidae																															1		
Araneae	Salticidae																																	1
Opiliones																																		
Pseudoscorpiones									1																									
Insecta indet.																																		
Insecta larvae indet.																																		
Acari											1				2	7	2	7	1	3	1				1			1				1		
Mollusca																																		
Mollusca	Slug																		1											1				
Crustacea	Isopoda																																	
Chilopoda							1																											
