Site	PlantOld	Photo	BlackPixels	WhitePixels	BlackPixelsInCircle	Surface	CanopyCover	Note
CB	10	CB-10_IMG_8375_circle.png	6748792	7268744	4154357	11423101	36.368	
CB	11	CB-11_IMG_8339_circle.png	6437429	7580107	3842994	11423101	33.642	
CB	12	CB-12_IMG_8357_circle.png	6350262	7667274	3755827	11423101	32.879	
CB	13	CB-13_IMG_8360_circle.png	6476491	7541045	3882056	11423101	33.984	
CB	14_1	CB-14.1_IMG_8365_circle.png	6506988	7510548	3912553	11423101	34.251	
CB	14_2	Missing, same as CB-13	6476491	7541045	3882056	11423101	33.984	Manually edited
CB	15	CB-15_IMG_8379_circle.png	6633611	7383925	4039176	11423101	35.36	
CB	16	CB-16_IMG_8387_circle.png	6645063	7372473	4050628	11423101	35.46	
CB	2	CB-2_IMG_8384_circle.png	6659451	7358085	4065016	11423101	35.586	
CB	3	CB-3_IMG_8392_circle.png	6905399	7112137	4310964	11423101	37.739	
CB	4	CB-4_IMG_8371_circle.png	6700074	7317462	4105639	11423101	35.942	
CB	5	CB-5_IMG_8351_circle.png	6499458	7518078	3905023	11423101	34.185	
CB	6	CB-6_IMG_8341_circle.png	6341296	7676240	3746861	11423101	32.801	
CB	7	CB-7_IMG_8345_circle.png	6633720	7383816	4039285	11423101	35.361	
LE	10B	LE-10B_IMG_8276_circle.png	10325235	3692301	7730800	11423101	67.677	
LE	2B	LE-2B_IMG_8270_circle.png	10269073	3748463	7674638	11423101	67.185	
LE	3	LE-3_IMG_8280_circle.png	10358671	3658865	7764236	11423101	67.97	
LE	5A	LE-5,6a_IMG_8300_circle.png	11348868	2668668	8754433	11423101	76.638	
LE	5B	LE-5,6b_IMG_8303_circle.png	10816554	3200982	8222119	11423101	71.978	
LE	5C	LE-5,6c_IMG_8305_circle.png	11071317	2946219	8476882	11423101	74.208	
LE	7A	LE-7,8a_IMG_8309_circle.png	10620319	3397217	8025884	11423101	70.26	
LE	7B	LE-7,8b_IMG_8311_circle.png	10642549	3374987	8048114	11423101	70.455	
LE	7C	LE-7,8c_IMG_8320_circle.png	11512819	2504717	8918384	11423101	78.073	
LE	9A	LE-9a_IMG_8325_circle.png	12145128	1872408	9550693	11423101	83.609	
LE	9B	LE-9b_IMG_8330_circle.png	11998589	2018947	9404154	11423101	82.326	
LE	9C	LE-9c_IMG_8332_circle.png	12079260	1938276	9484825	11423101	83.032	
LM	1	LM-1_IMG_8460_circle.png	7436158	6581378	4841723	11423101	42.385	
LM	2	LM-2_IMG_8464_circle.png	7374078	6643458	4779643	11423101	41.842	
LM	3	LM-3_IMG_8467_circle.png	6887745	7129791	4293310	11423101	37.584	
LM	6	LM-6_IMG_8450_circle.png	7077823	6939713	4483388	11423101	39.248	
LM	7A	LM-7a_IMG_8454_circle.png	7178508	6839028	4584073	11423101	40.13	
LM	7B	LM-7b_IMG_8457_circle.png	7200523	6817013	4606088	11423101	40.323	
LM	8A	LM-8a_IMG_8443_circle.png	6904593	7112943	4310158	11423101	37.732	
LM	8B	LM-8b_IMG_8445_circle.png	6970518	7047018	4376083	11423101	38.309	
LM	8C	LM-8c_IMG_8447_circle.png	6969943	7047593	4375508	11423101	38.304	
LM	9A	LM-9a9d_IMG_8440_circle.png	6854934	7162602	4260499	11423101	37.297	Manually edited, same as LM-9D
LM	9D	LM-9a9d_IMG_8440_circle.png	6854934	7162602	4260499	11423101	37.297	Manually edited, same as LM-9A
LM	9B	LM-9b_IMG_8433_circle.png	6701988	7315548	4107553	11423101	35.958	
LM	9C	LM-9c_IMG_8438_circle.png	6777801	7239735	4183366	11423101	36.622	
LT	1A	LT-1a_IMG_8488_circle.png	9541878	4475658	6947443	11423101	60.819	
LT	1B	LT-1b_IMG_8529_circle.png	9310391	4707145	6715956	11423101	58.793	
