Well plate	ID_sample	FullIDOld	Site	Sector	PlantOld	Leaf	Succession	PitcherLength	KeelWidth	PitcherWidth	MouthWidth	Comments	FreshMass	DryMass
C4	10	CB-1-2-16-E	CB	1	2	16	E	13.7	3.8	2.9	1.72		2.075	0.459
G8	25	CB-1-3-1-L	CB	1	3	1	L	15.6	6.1	3.6	2.43		3.333	0.642
E4	24	CB-1-3-2-L	CB	1	3	2	L	12.8	3.9	2.8	1.71		1.768	0.383
B3	23	CB-1-3-3-E	CB	1	3	3	E	13.6	4.4	3.6	2.02		2.4	0.453
C7	22	CB-1-3-4-L	CB	1	3	4	L	16.9	5.4	3	2.49		3.734	0.78
E10	21	CB-1-3-5-L	CB	1	3	5	L	17	5	3	2.19		2.908	0.645
B9	20	CB-1-3-6-E	CB	1	3	6	E	17.9	5.1	3.5	2.43		3.582	0.768
D6	19	CB-1-3-7-E	CB	1	3	7	E	16.1	5	3.6	2.25		3.055	0.576
E3	18	CB-1-3-8-E	CB	1	3	8	E	18.1	6.3	4.4	2.72		4.475	0.873
B8	17	CB-1-3-9-L	CB	1	3	9	L	11.6	3.6	1.8	1.78		1.283	0.273
C3	16	CB-1-3-10-L	CB	1	3	10	L	17	5.5	4	2.45		3.917	0.786
F4	15	CB-1-3-11-E	CB	1	3	11	E	14.6	4.3	2.4	1.5		1.945	0.391
D5	14	CB-1-3-12-L	CB	1	3	12	L	12.2	3.3	1.8	1.33		1.142	0.228
D8	13	CB-1-3-13-E	CB	1	3	13	E	14.1	4.6	3.6	2.01		2.329	0.422
E7	12	CB-1-3-14-E	CB	1	3	14	E	14	4.9	3.5	2.18		2.956	0.608
H11	11	CB-1-3-15-L	CB	1	3	15	L	17.2	5.5	3.8	2.39		4.054	0.778
B6	46	CB-2-10-1-E	CB	2	10	1	E	11.4	3.8	3.1	1.59		1.701	0.348
D11	47	CB-2-10-2-E	CB	2	10	2	E	11.5	3.9	3.2	1.9		1.626	0.302
G2	48	CB-2-10-3-L	CB	2	10	3	L	15.6	5.1	3.4	2.39		3.196	0.61
G7	49	CB-2-10-4-L	CB	2	10	4	L	12.7	4.4	2.9	2.11		2.521	0.527
F11	50	CB-2-10-5-E	CB	2	10	5	E	12.1	4.3	3.3	1.8		2.27	0.401
C9	41	CB-2-10-6-E	CB	2	10	6	E	13.4	5	3.7	1.85		3.182	0.558
F2	42	CB-2-10-7-L	CB	2	10	7	L	13.5	5.3	3.9	2.07	broken mouth	3.517	0.633
