WellPlate,IDSample,FullID,FullIDOld,PlantOld,Site,Sector,SectorPlant,Leaf,Succession,SampleVolume_mL,SampleColor,PotentialVolume_mL,Cut,Damaged,pH,Bodo saltans,Bodo,Chrysomonad,Colpoda,Tetrahymena,Cyclidium,Euglena,Bodo-like drop,Bodo-like green,Colpoda-like flat,Snail-like,Chrysomonad-like big,Bodo saltans-like big,Bodo-like big,Colpoda-like flat2,indet.,Tetrahymena-like fat,Bodo-like tailed,Diamond-like,Tetrahymena-like round,Bodo-like coloured,Tetrahymena-like small,Colpidium,Chrysomonad-like small,Rotifera,Nematoda,Acari
C4,10,CB_1b_16_E,CB-1-2-16-E,2,CB,1,1b,16,E,2,brown,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,23,CB_1a_03_E,CB-1-3-3-E,3,CB,1,1a,3,E,2.5,cloudy,21,0,0,8,0,6,> 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B8,17,CB_1a_09_L,CB-1-3-9-L,3,CB,1,1a,9,L,1.5,brown,3.5,0,1,8,0,0,0,>100,0,> 1000,> 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
B9,20,CB_1a_06_E,CB-1-3-6-E,3,CB,1,1a,6,E,5,brown,22,0,0,8,0,6,>1000,0,0,0,2,> 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,16,CB_1a_10_L,CB-1-3-10-L,3,CB,1,1a,10,L,4,brown,30,0,0,7,0,2,>10,0,0,0,>500,0,0,>10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7,22,CB_1a_04_L,CB-1-3-4-L,3,CB,1,1a,4,L,9,cloudy,29.5,0,0,6,>500,>500,4,0,0,0,>10,>100,0,>100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D5,14,CB_1a_12_L,CB-1-3-12-L,3,CB,1,1a,12,L,2,red,6,0,0,8,0,>10000,0,>250,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
D6,19,CB_1a_07_E,CB-1-3-7-E,3,CB,1,1a,7,E,4.5,clear,30.5,0,0,8,0,3,>10000,0,0,0,0,0,0,0,0,>100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D8,13,CB_1a_13_E,CB-1-3-13-E,3,CB,1,1a,13,E,1.5,cloudy,19,0,0,9,0,0,>500,0,0,0,0,>100,0,0,0,>100,0,>10000,0,0,0,0,0,0,0,0,0,0,0,0,0
E10,21,CB_1a_05_L,CB-1-3-5-L,3,CB,1,1a,5,L,5,green,18,0,0,7,0,0,>5000,1,0,0,>500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E3,18,CB_1a_08_E,CB-1-3-8-E,3,CB,1,1a,8,E,5,cloudy,42,0,0,8,1,0,>1000,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4,24,CB_1a_02_L,CB-1-3-2-L,3,CB,1,1a,2,L,4.5,green,9.5,0,0,6,0,>10,>100,0,0,0,>2500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E7,12,CB_1a_14_E,CB-1-3-14-E,3,CB,1,1a,14,E,3,brown,18,0,0,7.5,0,0,>10,0,0,0,>10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,15,CB_1a_11_E,CB-1-3-11-E,3,CB,1,1a,11,E,3,cloudy,10,0,0,7,0,0,>5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G8,25,CB_1a_01_L,CB-1-3-1-L,3,CB,1,1a,1,L,7.5,clear,24,0,0,6,>10,0,0,0,0,>100,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
H11,11,CB_1a_15_L,CB-1-3-15-L,3,CB,1,1a,15,L,7,cloudy,25.5,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10,58,CB_4a_10_L,CB-4-6-10-L,6,CB,4,4a,10,L,3,brown,28,0,0,8,0,0,0,0,0,0,>500,>10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2,57,CB_4a_11_E,CB-4-6-11-E,6,CB,4,4a,11,E,3,green,23.5,0,0,8,0,0,0,0,0,0,0,> 10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4,31,CB_4a_04_L,CB-4-6-4-L,6,CB,4,4a,4,L,3,brown,16,0,0,8,0,0,0,0,0,0,> 500,> 10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,32,CB_4a_03_E,CB-4-6-3-E,6,CB,4,4a,3,E,3,cloudy,20,0,0,8,0,0,>500,0,0,0,1,> 500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,26,CB_4a_05_E,CB-4-6-5-E,6,CB,4,4a,5,E,2.5,green,9,0,0,8,0,0,>10000,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
