"Acari"	"Araneae"	"Blattodea"	"Coleoptera"	"Diptera"	"Hemiptera"	"Hymenoptera"	"Insecta indet."	"Lepidoptera"	"Neuroptera"	"Thysanoptera"	"FullID"	"Collembola"	"Crustacea"	"Insecta larvae indet."	"Mollusca"	"Opiliones"	"Chilopoda"	"Pseudoscorpiones"	"Site"
0	3	0	2	7	0	5	0	0	0	0	"CB1a04L"	0	0	0	0	0	0	0	"CB"
0	0	0	0	6	0	1	0	0	0	0	"CB1a06E"	0	0	0	0	0	0	0	"CB"
0	0	0	0	0	0	2	0	0	0	0	"CB1a07E"	0	0	0	0	0	0	0	"CB"
0	0	0	0	4	0	1	0	0	0	0	"CB1a14E"	0	0	0	0	0	0	0	"CB"
0	2	0	0	1	0	3	0	0	0	0	"CB2a01E"	0	0	0	0	0	0	0	"CB"
0	2	0	3	3	0	2	0	0	0	0	"CB2a04L"	0	0	0	0	0	0	0	"CB"
0	0	0	0	6	1	6	0	0	1	0	"CB2a06E"	0	0	0	0	0	0	0	"CB"
0	0	0	1	1	0	5	0	0	0	0	"CB2a08L"	0	0	0	0	0	0	0	"CB"
0	2	0	1	1	1	4	0	0	0	0	"CB2a11E"	0	0	0	0	0	0	0	"CB"
0	1	0	4	12	0	15	1	1	0	0	"CB2b16L"	0	0	0	0	0	0	0	"CB"
0	5	0	2	2	1	23	0	0	0	0	"CB3a06L"	0	0	0	0	0	0	0	"CB"
0	5	0	6	1	0	7	0	0	0	0	"CB3a07E"	0	0	0	0	0	0	0	"CB"
0	1	0	1	2	0	8	0	0	0	0	"CB3a10E"	0	0	0	0	0	0	0	"CB"
0	0	0	5	1	3	10	0	0	0	0	"CB3a14L"	0	0	0	0	0	0	0	"CB"
0	1	0	0	1	0	7	0	0	0	0	"CB3b01E"	0	0	0	0	0	0	0	"CB"
0	2	0	0	6	0	6	0	0	0	0	"CB3b03L"	0	0	0	0	0	0	0	"CB"
0	0	0	1	2	0	9	0	0	0	0	"CB3c16L"	0	0	0	0	0	0	0	"CB"
0	0	0	0	8	0	1	0	0	0	0	"CB4a04L"	0	0	0	0	0	0	0	"CB"
0	0	0	0	3	0	2	2	0	0	0	"CB4a05E"	0	0	0	0	0	0	0	"CB"
0	0	0	0	4	0	0	0	0	0	0	"CB4a06L"	0	0	0	0	0	0	0	"CB"
0	1	0	0	3	0	5	0	0	0	0	"CB4a09E"	0	0	0	0	0	0	0	"CB"
0	0	0	0	16	0	1	4	0	0	0	"CB4a10L"	0	0	0	0	0	0	0	"CB"
0	1	0	0	18	0	3	10	1	0	0	"CB4a11E"	0	0	0	0	0	0	0	"CB"
2	0	0	2	1	0	6	0	0	0	0	"CB1a01L"	0	0	0	0	0	0	0	"CB"
0	0	0	1	1	0	1	0	0	0	0	"CB1a02L"	0	0	0	0	0	0	0	"CB"
0	0	0	1	4	0	0	0	0	0	0	"CB1a05L"	0	0	0	0	0	0	0	"CB"
0	0	0	0	1	0	2	0	0	0	0	"CB1a08E"	0	0	0	0	0	0	0	"CB"
0	0	0	0	5	0	6	0	0	0	0	"CB2a09L"	0	0	0	0	0	0	0	"CB"
0	0	0	0	0	1	2	0	0	0	0	"CB2a10E"	0	0	0	0	0	0	0	"CB"
0	1	0	1	0	0	14	0	0	0	0	"CB3a08E"	0	0	0	0	0	0	0	"CB"
0	0	0	0	2	0	0	0	0	0	0	"CB4a01L"	0	0	0	0	0	0	0	"CB"
0	1	0	0	1	0	2	0	1	0	0	"CB4a03E"	0	0	0	0	0	0	0	"CB"
0	0	0	0	7	0	0	0	0	0	0	"LE1a09E"	0	0	0	0	0	0	0	"LE"
0	1	0	0	9	1	5	0	0	0	0	"LE1a10L"	2	1	0	0	0	0	0	"LE"
2	2	0	0	7	1	3	0	0	0	0	"LE1a13L"	1	0	0	0	0	0	0	"LE"
0	0	0	0	1	2	1	0	0	0	0	"LE1a16E"	0	0	0	0	0	0	0	"LE"
0	0	0	0	1	2	0	0	1	0	0	"LE2a09L"	0	0	0	0	0	0	0	"LE"
0	0	0	0	5	0	1	0	0	0	0	"LE2a10E"	0	0	0	0	0	0	0	"LE"
0	0	0	0	4	1	1	0	0	0	0	"LE2a11E"	0	0	0	0	0	0	0	"LE"
0	0	0	0	3	0	4	0	0	0	0	"LE2a12L"	0	0	0	0	0	0	0	"LE"
1	0	0	0	0	0	1	0	0	0	0	"LE2a13E"	0	0	0	0	0	0	0	"LE"
0	36	0	4	3	1	1	0	0	0	0	"LE2a14L"	0	0	0	0	0	0	0	"LE"
0	0	0	1	4	0	1	0	0	0	0	"LE2a15E"	0	0	0	0	0	0	0	"LE"
0	0	0	0	1	0	0	0	0	0	0	"LE2a16L"	0	0	0	0	0	0	0	"LE"
0	0	0	2	5	0	2	0	1	0	0	"LE3a03E"	0	0	0	0	0	0	0	"LE"
0	1	0	3	6	3	0	0	0	0	0	"LE3a05L"	1	0	0	0	0	0	0	"LE"
0	1	0	0	1	0	1	0	0	0	0	"LE3a06E"	0	0	0	0	0	0	0	"LE"
0	0	1	1	5	0	4	0	0	0	1	"LE3a10L"	0	0	0	0	0	0	0	"LE"
0	0	0	2	10	0	2	0	0	0	0	"LE3a11L"	0	0	0	0	0	0	0	"LE"
0	0	0	0	0	0	0	0	0	0	0	"LE3a14L"	0	0	0	0	0	0	0	"LE"
0	0	0	0	0	0	0	0	0	0	0	"LE3a15E"	0	0	0	0	0	0	0	"LE"
0	0	0	0	6	0	2	0	0	0	1	"LE4b02E"	0	0	0	0	0	0	0	"LE"
0	0	0	3	10	1	8	0	0	0	0	"LE4b03E"	0	0	1	0	0	0	0	"LE"
9	0	0	10	20	0	14	0	1	0	0	"LE4b04L"	0	0	0	0	0	0	0	"LE"
0	0	0	3	10	0	16	0	0	0	0	"LE4b05E"	1	0	0	0	0	0	0	"LE"
0	0	0	2	5	0	2	0	0	0	0	"LE4b10L"	0	0	0	0	0	0	0	"LE"
0	0	0	0	10	2	1	0	0	0	0	"LE1a08E"	0	0	0	0	0	0	0	"LE"
