Site;Section;Plant;﻿DateTime;Temperature ;LightIntensity 
CB;1;16;17/07/2018 11:00:00.0;34.796;46844.8
CB;1;16;17/07/2018 11:15:00.0;35.542;46844.8
CB;1;16;17/07/2018 11:30:00.0;36.511;44089.2
CB;1;16;17/07/2018 11:45:00.0;39.05;52355.9
CB;1;16;17/07/2018 12:00:00.0;40.876;49600.3
CB;1;16;17/07/2018 12:15:00.0;41.458;31689.1
CB;1;16;17/07/2018 12:30:00.0;35.115;12400.1
CB;1;16;17/07/2018 12:45:00.0;38.714;44089.2
CB;1;16;17/07/2018 13:00:00.0;39.276;42711.4
CB;1;16;17/07/2018 13:15:00.0;39.843;39955.8
CB;1;16;17/07/2018 13:30:00.0;39.615;35822.5
CB;1;16;17/07/2018 13:45:00.0;36.295;38578
CB;1;16;17/07/2018 14:00:00.0;38.157;37200.2
CB;1;16;17/07/2018 14:15:00.0;38.714;35822.5
CB;1;16;17/07/2018 14:30:00.0;38.157;11711.2
CB;1;16;17/07/2018 14:45:00.0;34.058;33066.9
CB;1;16;17/07/2018 15:00:00.0;38.49;30311.3
CB;1;16;17/07/2018 15:15:00.0;40.645;31689.1
CB;1;16;17/07/2018 15:30:00.0;39.163;9300.1
CB;1;16;17/07/2018 15:45:00.0;30.054;6544.5
CB;1;16;17/07/2018 16:00:00.0;26;8266.7
CB;1;16;17/07/2018 16:15:00.0;30.054;22044.6
CB;1;16;17/07/2018 16:30:00.0;33.639;24800.2
CB;1;16;17/07/2018 16:45:00.0;34.058;24800.2
CB;1;16;17/07/2018 17:00:00.0;34.268;23422.4
CB;1;16;17/07/2018 17:15:00.0;33.222;4650
CB;1;16;17/07/2018 17:30:00.0;33.639;24800.2
CB;1;16;17/07/2018 17:45:00.0;32.291;24800.2
CB;1;16;17/07/2018 18:00:00.0;31.472;20666.8
CB;1;16;17/07/2018 18:15:00.0;28.853;4133.4
CB;1;16;17/07/2018 18:30:00.0;24.931;3272.2
CB;1;16;17/07/2018 18:45:00.0;23.869;4133.4
CB;1;16;17/07/2018 19:00:00.0;22.621;2238.9
CB;1;16;17/07/2018 19:15:00.0;21.664;2755.6
CB;1;16;17/07/2018 19:30:00.0;21.855;4305.6
CB;1;16;17/07/2018 19:45:00.0;23.004;6200
CB;1;16;17/07/2018 20:00:00.0;22.908;4133.4
CB;1;16;17/07/2018 20:15:00.0;21.569;2066.7
CB;1;16;17/07/2018 20:30:00.0;20.424;1894.5
